City,Item,Year,Unit_Cost_NGN,Region,Cost_Category
Lagos,Cement (50kg bag),2023,3800,South West,Material
Lagos,Cement (50kg bag),2024,6800,South West,Material
Lagos,Cement (50kg bag),2025,9800,South West,Material
Abuja,Cement (50kg bag),2023,4200,North Central,Material
Abuja,Cement (50kg bag),2024,7000,North Central,Material
Abuja,Cement (50kg bag),2025,10200,North Central,Material
Port Harcourt,Cement (50kg bag),2023,4000,South South,Material
Port Harcourt,Cement (50kg bag),2024,6500,South South,Material
Port Harcourt,Cement (50kg bag),2025,9500,South South,Material
Ibadan,Cement (50kg bag),2023,3500,South West,Material
Ibadan,Cement (50kg bag),2024,6200,South West,Material
Ibadan,Cement (50kg bag),2025,9000,South West,Material
Ogun,Cement (50kg bag),2023,3600,South West,Material
Ogun,Cement (50kg bag),2024,6300,South West,Material
Ogun,Cement (50kg bag),2025,9100,South West,Material
Kano,Cement (50kg bag),2023,3400,North West,Material
Kano,Cement (50kg bag),2024,6000,North West,Material
Kano,Cement (50kg bag),2025,8800,North West,Material
Enugu,Cement (50kg bag),2023,3700,South East,Material
Enugu,Cement (50kg bag),2024,6400,South East,Material
Enugu,Cement (50kg bag),2025,9300,South East,Material
Kaduna,Cement (50kg bag),2023,3300,North West,Material
Kaduna,Cement (50kg bag),2024,5900,North West,Material
Kaduna,Cement (50kg bag),2025,8600,North West,Material
Benin City,Cement (50kg bag),2023,3600,South South,Material
Benin City,Cement (50kg bag),2024,6300,South South,Material
Benin City,Cement (50kg bag),2025,9200,South South,Material
Owerri,Cement (50kg bag),2023,3700,South East,Material
Owerri,Cement (50kg bag),2024,6500,South East,Material
Owerri,Cement (50kg bag),2025,9400,South East,Material
Lagos,Concrete Blocks (9-inch),2023,600,South West,Material
Lagos,Concrete Blocks (9-inch),2024,800,South West,Material
Lagos,Concrete Blocks (9-inch),2025,950,South West,Material
Abuja,Concrete Blocks (9-inch),2023,550,North Central,Material
Abuja,Concrete Blocks (9-inch),2024,750,North Central,Material
Abuja,Concrete Blocks (9-inch),2025,880,North Central,Material
Port Harcourt,Concrete Blocks (9-inch),2023,520,South South,Material
Port Harcourt,Concrete Blocks (9-inch),2024,720,South South,Material
Port Harcourt,Concrete Blocks (9-inch),2025,850,South South,Material
Ibadan,Concrete Blocks (9-inch),2023,480,South West,Material
Ibadan,Concrete Blocks (9-inch),2024,680,South West,Material
Ibadan,Concrete Blocks (9-inch),2025,800,South West,Material
Ogun,Concrete Blocks (9-inch),2023,500,South West,Material
Ogun,Concrete Blocks (9-inch),2024,700,South West,Material
Ogun,Concrete Blocks (9-inch),2025,820,South West,Material
Kano,Concrete Blocks (9-inch),2023,450,North West,Material
Kano,Concrete Blocks (9-inch),2024,650,North West,Material
Kano,Concrete Blocks (9-inch),2025,780,North West,Material
Enugu,Concrete Blocks (9-inch),2023,470,South East,Material
Enugu,Concrete Blocks (9-inch),2024,670,South East,Material
Enugu,Concrete Blocks (9-inch),2025,800,South East,Material
Kaduna,Concrete Blocks (9-inch),2023,440,North West,Material
Kaduna,Concrete Blocks (9-inch),2024,640,North West,Material
Kaduna,Concrete Blocks (9-inch),2025,760,North West,Material
Benin City,Concrete Blocks (9-inch),2023,480,South South,Material
Benin City,Concrete Blocks (9-inch),2024,680,South South,Material
Benin City,Concrete Blocks (9-inch),2025,810,South South,Material
Owerri,Concrete Blocks (9-inch),2023,490,South East,Material
Owerri,Concrete Blocks (9-inch),2024,690,South East,Material
Owerri,Concrete Blocks (9-inch),2025,820,South East,Material
Lagos,Steel Bars (per kg),2023,480,South West,Material
Lagos,Steel Bars (per kg),2024,700,South West,Material
Lagos,Steel Bars (per kg),2025,1050,South West,Material
Abuja,Steel Bars (per kg),2023,490,North Central,Material
Abuja,Steel Bars (per kg),2024,710,North Central,Material
Abuja,Steel Bars (per kg),2025,1060,North Central,Material
Port Harcourt,Steel Bars (per kg),2023,470,South South,Material
